-e Time,			us,	sy,	ni,	id,	wa
-e 14-12-17 08:28:17,	 0.0%,	 0.1%,	 0.0%,	 99.9%,	 0.0%
-e 14-12-17 08:28:21,	 0.0%,	 0.1%,	 0.0%,	 99.9%,	 0.0%
-e 14-12-17 08:28:25,	 0.0%,	 0.1%,	 0.0%,	 99.9%,	 0.0%
-e 14-12-17 08:28:28,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:28:32,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:28:35,	 0.1%,	 0.7%,	 0.0%,	 99.2%,	 0.0%
-e 14-12-17 08:28:39,	 0.1%,	 0.2%,	 0.0%,	 99.7%,	 0.0%
-e 14-12-17 08:28:42,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:28:46,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:28:49,	 0.1%,	 0.2%,	 0.0%,	 99.7%,	 0.0%
-e 14-12-17 08:28:53,	 14.6%,	 3.7%,	 0.0%,	 81.2%,	 0.0%
-e 14-12-17 08:28:56,	 13.2%,	 10.2%,	 0.0%,	 74.6%,	 0.0%
-e 14-12-17 08:29:00,	 13.2%,	 8.6%,	 0.0%,	 76.2%,	 0.0%
-e 14-12-17 08:29:04,	 14.5%,	 9.3%,	 0.0%,	 74.0%,	 0.0%
-e 14-12-17 08:29:07,	 12.9%,	 8.5%,	 0.0%,	 60.6%,	 16.1%
-e 14-12-17 08:29:11,	 13.8%,	 8.8%,	 0.0%,	 60.2%,	 15.5%
-e 14-12-17 08:29:14,	 12.9%,	 7.4%,	 0.0%,	 78.1%,	 0.0%
-e 14-12-17 08:29:18,	 11.7%,	 7.3%,	 0.0%,	 77.4%,	 2.0%
-e 14-12-17 08:29:21,	 11.8%,	 6.9%,	 0.0%,	 79.4%,	 0.5%
-e 14-12-17 08:29:25,	 12.8%,	 7.6%,	 0.0%,	 77.9%,	 0.0%
-e 14-12-17 08:29:29,	 11.8%,	 7.8%,	 0.0%,	 70.6%,	 8.0%
-e 14-12-17 08:29:32,	 12.0%,	 7.7%,	 0.0%,	 74.7%,	 4.2%
-e 14-12-17 08:29:36,	 12.3%,	 7.3%,	 0.0%,	 72.5%,	 6.3%
-e 14-12-17 08:29:39,	 11.4%,	 7.1%,	 0.0%,	 79.9%,	 0.0%
-e 14-12-17 08:29:43,	 7.5%,	 4.7%,	 0.0%,	 86.6%,	 0.0%
-e 14-12-17 08:29:46,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:29:50,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:29:53,	 10.2%,	 6.6%,	 0.0%,	 81.5%,	 0.0%
-e 14-12-17 08:29:57,	 13.0%,	 8.8%,	 0.0%,	 75.9%,	 0.0%
-e 14-12-17 08:30:01,	 13.0%,	 8.1%,	 0.0%,	 76.8%,	 0.0%
-e 14-12-17 08:30:04,	 15.1%,	 9.6%,	 0.0%,	 73.2%,	 0.0%
-e 14-12-17 08:30:08,	 15.0%,	 9.4%,	 0.0%,	 53.4%,	 20.3%
-e 14-12-17 08:30:11,	 13.2%,	 8.1%,	 0.0%,	 45.4%,	 31.4%
-e 14-12-17 08:30:15,	 14.5%,	 8.3%,	 0.0%,	 75.4%,	 0.0%
-e 14-12-17 08:30:18,	 15.5%,	 9.0%,	 0.0%,	 73.6%,	 0.0%
-e 14-12-17 08:30:22,	 15.1%,	 8.9%,	 0.0%,	 74.0%,	 0.2%
-e 14-12-17 08:30:26,	 16.6%,	 10.0%,	 0.0%,	 68.7%,	 2.5%
-e 14-12-17 08:30:29,	 17.5%,	 10.7%,	 0.0%,	 69.6%,	 0.1%
-e 14-12-17 08:30:33,	 15.4%,	 8.8%,	 0.0%,	 73.0%,	 0.7%
-e 14-12-17 08:30:36,	 7.3%,	 4.0%,	 0.0%,	 68.9%,	 18.8%
-e 14-12-17 08:30:40,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:30:43,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:30:47,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:30:51,	 8.3%,	 5.2%,	 0.0%,	 85.2%,	 0.0%
-e 14-12-17 08:30:54,	 13.4%,	 8.2%,	 0.0%,	 76.4%,	 0.0%
-e 14-12-17 08:30:58,	 13.0%,	 7.1%,	 0.0%,	 76.3%,	 1.8%
-e 14-12-17 08:31:01,	 12.9%,	 7.7%,	 0.0%,	 77.4%,	 0.0%
-e 14-12-17 08:31:05,	 14.3%,	 8.6%,	 0.0%,	 57.2%,	 18.0%
-e 14-12-17 08:31:08,	 14.8%,	 8.5%,	 0.0%,	 74.9%,	 0.0%
-e 14-12-17 08:31:12,	 13.5%,	 8.1%,	 0.0%,	 76.9%,	 0.0%
-e 14-12-17 08:31:15,	 14.1%,	 8.2%,	 0.0%,	 75.9%,	 0.0%
-e 14-12-17 08:31:19,	 12.7%,	 6.9%,	 0.0%,	 79.1%,	 0.0%
-e 14-12-17 08:31:23,	 14.0%,	 7.6%,	 0.0%,	 76.9%,	 0.0%
-e 14-12-17 08:31:26,	 13.7%,	 7.9%,	 0.0%,	 72.5%,	 4.4%
-e 14-12-17 08:31:30,	 12.6%,	 7.9%,	 0.0%,	 77.9%,	 0.0%
-e 14-12-17 08:31:33,	 12.2%,	 7.0%,	 0.0%,	 78.7%,	 0.9%
-e 14-12-17 08:31:37,	 4.2%,	 2.8%,	 0.0%,	 84.2%,	 8.2%
-e 14-12-17 08:31:40,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:31:44,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:31:48,	 0.0%,	 0.8%,	 0.0%,	 99.2%,	 0.0%
-e 14-12-17 08:31:51,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:31:55,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:31:58,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:32:02,	 17.9%,	 3.8%,	 0.0%,	 77.7%,	 0.0%
-e 14-12-17 08:32:05,	 18.1%,	 14.3%,	 0.0%,	 65.4%,	 0.0%
-e 14-12-17 08:32:09,	 12.5%,	 7.1%,	 0.0%,	 78.4%,	 0.0%
-e 14-12-17 08:32:12,	 14.4%,	 9.0%,	 0.0%,	 74.2%,	 0.0%
-e 14-12-17 08:32:16,	 15.0%,	 9.2%,	 0.0%,	 73.7%,	 0.0%
-e 14-12-17 08:32:20,	 15.0%,	 9.3%,	 0.0%,	 73.4%,	 0.0%
-e 14-12-17 08:32:23,	 15.2%,	 9.8%,	 0.0%,	 72.8%,	 0.0%
-e 14-12-17 08:32:27,	 12.9%,	 8.3%,	 0.0%,	 76.9%,	 0.0%
-e 14-12-17 08:32:30,	 13.6%,	 8.3%,	 0.0%,	 75.6%,	 0.6%
-e 14-12-17 08:32:34,	 14.8%,	 8.6%,	 0.0%,	 74.6%,	 0.0%
-e 14-12-17 08:32:37,	 12.6%,	 7.7%,	 0.0%,	 77.9%,	 0.0%
-e 14-12-17 08:32:41,	 12.4%,	 7.5%,	 0.0%,	 78.4%,	 0.0%
-e 14-12-17 08:32:45,	 11.5%,	 7.2%,	 0.0%,	 79.6%,	 0.0%
