-e Time,			IN(KBytes/s),	OUT(KByte/s)
-e 2014-12-17 08:28:15,	0,		1
-e 2014-12-17 08:28:16,	0,		1
-e 2014-12-17 08:28:17,	0,		1
-e 2014-12-17 08:28:18,	0,		0
-e 2014-12-17 08:28:19,	0,		0
-e 2014-12-17 08:28:20,	0,		0
-e 2014-12-17 08:28:21,	0,		0
-e 2014-12-17 08:28:22,	0,		0
-e 2014-12-17 08:28:23,	0,		0
-e 2014-12-17 08:28:24,	0,		0
-e 2014-12-17 08:28:25,	0,		0
-e 2014-12-17 08:28:26,	0,		0
-e 2014-12-17 08:28:27,	0,		0
-e 2014-12-17 08:28:28,	0,		0
-e 2014-12-17 08:28:29,	0,		0
-e 2014-12-17 08:28:30,	0,		0
-e 2014-12-17 08:28:31,	0,		0
-e 2014-12-17 08:28:32,	0,		0
-e 2014-12-17 08:28:33,	0,		0
-e 2014-12-17 08:28:34,	0,		0
-e 2014-12-17 08:28:35,	0,		1
-e 2014-12-17 08:28:36,	0,		0
-e 2014-12-17 08:28:37,	0,		0
-e 2014-12-17 08:28:38,	0,		2
-e 2014-12-17 08:28:39,	0,		0
-e 2014-12-17 08:28:40,	2,		3
-e 2014-12-17 08:28:41,	1,		1
-e 2014-12-17 08:28:42,	0,		0
-e 2014-12-17 08:28:43,	1,		1
-e 2014-12-17 08:28:44,	0,		0
-e 2014-12-17 08:28:45,	0,		0
-e 2014-12-17 08:28:46,	0,		0
-e 2014-12-17 08:28:47,	0,		0
-e 2014-12-17 08:28:48,	0,		0
-e 2014-12-17 08:28:49,	0,		0
-e 2014-12-17 08:28:50,	0,		0
-e 2014-12-17 08:28:51,	17,		340
-e 2014-12-17 08:28:52,	35738,		1706
-e 2014-12-17 08:28:53,	92508,		3530
-e 2014-12-17 08:28:54,	173343,		5801
-e 2014-12-17 08:28:55,	160824,		5549
-e 2014-12-17 08:28:56,	186803,		6428
-e 2014-12-17 08:28:57,	198239,		6053
-e 2014-12-17 08:28:58,	230915,		6456
-e 2014-12-17 08:28:59,	250514,		7306
-e 2014-12-17 08:29:00,	209698,		5809
-e 2014-12-17 08:29:01,	256302,		6944
-e 2014-12-17 08:29:02,	238953,		6476
-e 2014-12-17 08:29:03,	228342,		6085
-e 2014-12-17 08:29:04,	268840,		7357
-e 2014-12-17 08:29:05,	250968,		6675
-e 2014-12-17 08:29:06,	172222,		5140
-e 2014-12-17 08:29:07,	244118,		6739
-e 2014-12-17 08:29:08,	234991,		6265
-e 2014-12-17 08:29:09,	263714,		7388
-e 2014-12-17 08:29:11,	245582,		6899
-e 2014-12-17 08:29:12,	200616,		5916
-e 2014-12-17 08:29:13,	221861,		6409
-e 2014-12-17 08:29:14,	252087,		7347
-e 2014-12-17 08:29:15,	234236,		6573
-e 2014-12-17 08:29:16,	243802,		7033
-e 2014-12-17 08:29:17,	207490,		6469
-e 2014-12-17 08:29:18,	230423,		6659
-e 2014-12-17 08:29:19,	240709,		6867
-e 2014-12-17 08:29:20,	249527,		7026
-e 2014-12-17 08:29:21,	221922,		6332
-e 2014-12-17 08:29:22,	210004,		5904
-e 2014-12-17 08:29:23,	229661,		6588
-e 2014-12-17 08:29:24,	248202,		7145
-e 2014-12-17 08:29:25,	236133,		6685
-e 2014-12-17 08:29:26,	250971,		7342
-e 2014-12-17 08:29:27,	246619,		7134
-e 2014-12-17 08:29:28,	250242,		7231
-e 2014-12-17 08:29:29,	262821,		7597
