-e Time,			total,	used,	buffer
-e 14-12-17 08:28:17,	 61598796k,	 8832196k,	 52766600k
-e 14-12-17 08:28:21,	 61598796k,	 8831616k,	 52767180k
-e 14-12-17 08:28:24,	 61598796k,	 8830460k,	 52768336k
-e 14-12-17 08:28:28,	 61598796k,	 8830628k,	 52768168k
-e 14-12-17 08:28:32,	 61598796k,	 8829428k,	 52769368k
-e 14-12-17 08:28:35,	 61598796k,	 3274736k,	 58324060k
-e 14-12-17 08:28:39,	 61598796k,	 3274756k,	 58324040k
-e 14-12-17 08:28:42,	 61598796k,	 3274528k,	 58324268k
-e 14-12-17 08:28:46,	 61598796k,	 3274120k,	 58324676k
-e 14-12-17 08:28:49,	 61598796k,	 3286760k,	 58312036k
-e 14-12-17 08:28:53,	 61598796k,	 4509476k,	 57089320k
-e 14-12-17 08:28:56,	 61598796k,	 7569072k,	 54029724k
-e 14-12-17 08:29:00,	 61598796k,	 8560136k,	 53038660k
-e 14-12-17 08:29:04,	 61598796k,	 8879256k,	 52719540k
-e 14-12-17 08:29:07,	 61598796k,	 9071028k,	 52527768k
-e 14-12-17 08:29:11,	 61598796k,	 9136800k,	 52461996k
-e 14-12-17 08:29:14,	 61598796k,	 9172356k,	 52426440k
-e 14-12-17 08:29:18,	 61598796k,	 9155792k,	 52443004k
-e 14-12-17 08:29:21,	 61598796k,	 9179276k,	 52419520k
-e 14-12-17 08:29:25,	 61598796k,	 9177560k,	 52421236k
-e 14-12-17 08:29:28,	 61598796k,	 9194436k,	 52404360k
-e 14-12-17 08:29:32,	 61598796k,	 9158496k,	 52440300k
-e 14-12-17 08:29:36,	 61598796k,	 9142212k,	 52456584k
-e 14-12-17 08:29:39,	 61598796k,	 9047600k,	 52551196k
-e 14-12-17 08:29:43,	 61598796k,	 8911084k,	 52687712k
-e 14-12-17 08:29:46,	 61598796k,	 8859660k,	 52739136k
-e 14-12-17 08:29:50,	 61598796k,	 8851416k,	 52747380k
-e 14-12-17 08:29:53,	 61598796k,	 9051320k,	 52547476k
-e 14-12-17 08:29:57,	 61598796k,	 9052756k,	 52546040k
-e 14-12-17 08:30:00,	 61598796k,	 8968144k,	 52630652k
