Time,			total,	used,	free,	cache
14-12-10 15:50:21,	 10223608k,	 0k,	 10223608k,	 2294076k
14-12-10 15:50:24,	 10223608k,	 0k,	 10223608k,	 2294084k
14-12-10 15:50:28,	 10223608k,	 0k,	 10223608k,	 2294104k
14-12-10 15:50:31,	 10223608k,	 0k,	 10223608k,	 2294112k
14-12-10 15:50:35,	 10223608k,	 0k,	 10223608k,	 2294112k
14-12-10 15:50:39,	 10223608k,	 0k,	 10223608k,	 2294120k
14-12-10 15:50:42,	 10223608k,	 0k,	 10223608k,	 2294120k
14-12-10 15:50:46,	 10223608k,	 0k,	 10223608k,	 2294120k
14-12-10 15:50:49,	 10223608k,	 0k,	 10223608k,	 2294124k
14-12-10 15:50:53,	 10223608k,	 0k,	 10223608k,	 2294124k
14-12-10 15:50:57,	 10223608k,	 0k,	 10223608k,	 2294132k
14-12-10 15:51:00,	 10223608k,	 0k,	 10223608k,	 2294136k
14-12-10 15:51:04,	 10223608k,	 0k,	 10223608k,	 2294144k
14-12-10 15:51:07,	 10223608k,	 0k,	 10223608k,	 2294148k
14-12-10 15:51:11,	 10223608k,	 0k,	 10223608k,	 2294148k
14-12-10 15:51:15,	 10223608k,	 0k,	 10223608k,	 2294152k
14-12-10 15:51:18,	 10223608k,	 0k,	 10223608k,	 2294160k
14-12-10 15:51:22,	 10223608k,	 0k,	 10223608k,	 2294160k
14-12-10 15:51:25,	 10223608k,	 0k,	 10223608k,	 2294160k
14-12-10 15:51:29,	 10223608k,	 0k,	 10223608k,	 2294160k
