-e Time,			total,	used,	free,	cache
-e 14-12-17 08:28:17,	 0k,	 0k,	 0k,	 1572660k
-e 14-12-17 08:28:21,	 0k,	 0k,	 0k,	 1572656k
-e 14-12-17 08:28:24,	 0k,	 0k,	 0k,	 1572660k
-e 14-12-17 08:28:28,	 0k,	 0k,	 0k,	 1572660k
-e 14-12-17 08:28:32,	 0k,	 0k,	 0k,	 1572660k
-e 14-12-17 08:28:35,	 0k,	 0k,	 0k,	 1572628k
-e 14-12-17 08:28:39,	 0k,	 0k,	 0k,	 1572628k
-e 14-12-17 08:28:42,	 0k,	 0k,	 0k,	 1572640k
-e 14-12-17 08:28:46,	 0k,	 0k,	 0k,	 1572640k
-e 14-12-17 08:28:49,	 0k,	 0k,	 0k,	 1572668k
-e 14-12-17 08:28:53,	 0k,	 0k,	 0k,	 1566196k
-e 14-12-17 08:28:56,	 0k,	 0k,	 0k,	 1535640k
-e 14-12-17 08:29:00,	 0k,	 0k,	 0k,	 1522236k
-e 14-12-17 08:29:04,	 0k,	 0k,	 0k,	 1518692k
-e 14-12-17 08:29:07,	 0k,	 0k,	 0k,	 1550160k
-e 14-12-17 08:29:11,	 0k,	 0k,	 0k,	 1563108k
-e 14-12-17 08:29:14,	 0k,	 0k,	 0k,	 1562704k
-e 14-12-17 08:29:18,	 0k,	 0k,	 0k,	 1560636k
-e 14-12-17 08:29:21,	 0k,	 0k,	 0k,	 1564100k
-e 14-12-17 08:29:25,	 0k,	 0k,	 0k,	 1562244k
-e 14-12-17 08:29:28,	 0k,	 0k,	 0k,	 1563140k
-e 14-12-17 08:29:32,	 0k,	 0k,	 0k,	 1569968k
-e 14-12-17 08:29:36,	 0k,	 0k,	 0k,	 1562508k
-e 14-12-17 08:29:39,	 0k,	 0k,	 0k,	 1567852k
-e 14-12-17 08:29:43,	 0k,	 0k,	 0k,	 1563620k
-e 14-12-17 08:29:46,	 0k,	 0k,	 0k,	 1571692k
-e 14-12-17 08:29:50,	 0k,	 0k,	 0k,	 1572492k
-e 14-12-17 08:29:53,	 0k,	 0k,	 0k,	 1508332k
-e 14-12-17 08:29:57,	 0k,	 0k,	 0k,	 1508600k
-e 14-12-17 08:30:00,	 0k,	 0k,	 0k,	 1508504k
-e 14-12-17 08:30:04,	 0k,	 0k,	 0k,	 1508732k
-e 14-12-17 08:30:08,	 0k,	 0k,	 0k,	 1509164k
-e 14-12-17 08:30:11,	 0k,	 0k,	 0k,	 1509308k
-e 14-12-17 08:30:15,	 0k,	 0k,	 0k,	 1508708k
-e 14-12-17 08:30:18,	 0k,	 0k,	 0k,	 1508504k
-e 14-12-17 08:30:22,	 0k,	 0k,	 0k,	 1509344k
-e 14-12-17 08:30:25,	 0k,	 0k,	 0k,	 1508528k
-e 14-12-17 08:30:29,	 0k,	 0k,	 0k,	 1508824k
-e 14-12-17 08:30:33,	 0k,	 0k,	 0k,	 1509328k
-e 14-12-17 08:30:36,	 0k,	 0k,	 0k,	 1571724k
-e 14-12-17 08:30:40,	 0k,	 0k,	 0k,	 1571972k
-e 14-12-17 08:30:43,	 0k,	 0k,	 0k,	 1572436k
-e 14-12-17 08:30:47,	 0k,	 0k,	 0k,	 1572652k
-e 14-12-17 08:30:50,	 0k,	 0k,	 0k,	 1509124k
-e 14-12-17 08:30:54,	 0k,	 0k,	 0k,	 1509212k
-e 14-12-17 08:30:57,	 0k,	 0k,	 0k,	 1508288k
-e 14-12-17 08:31:01,	 0k,	 0k,	 0k,	 1508352k
-e 14-12-17 08:31:04,	 0k,	 0k,	 0k,	 1508912k
-e 14-12-17 08:31:08,	 0k,	 0k,	 0k,	 1509104k
-e 14-12-17 08:31:12,	 0k,	 0k,	 0k,	 1509400k
-e 14-12-17 08:31:15,	 0k,	 0k,	 0k,	 1508720k
-e 14-12-17 08:31:19,	 0k,	 0k,	 0k,	 1509872k
-e 14-12-17 08:31:22,	 0k,	 0k,	 0k,	 1509372k
-e 14-12-17 08:31:26,	 0k,	 0k,	 0k,	 1508664k
-e 14-12-17 08:31:29,	 0k,	 0k,	 0k,	 1509472k
-e 14-12-17 08:31:33,	 0k,	 0k,	 0k,	 1510352k
-e 14-12-17 08:31:36,	 0k,	 0k,	 0k,	 1569904k
-e 14-12-17 08:31:40,	 0k,	 0k,	 0k,	 1571656k
-e 14-12-17 08:31:44,	 0k,	 0k,	 0k,	 1572560k
-e 14-12-17 08:31:47,	 0k,	 0k,	 0k,	 1572656k
-e 14-12-17 08:31:51,	 0k,	 0k,	 0k,	 1572656k
-e 14-12-17 08:31:54,	 0k,	 0k,	 0k,	 1572660k
-e 14-12-17 08:31:58,	 0k,	 0k,	 0k,	 1572656k
-e 14-12-17 08:32:01,	 0k,	 0k,	 0k,	 1570936k
-e 14-12-17 08:32:05,	 0k,	 0k,	 0k,	 1558956k
-e 14-12-17 08:32:08,	 0k,	 0k,	 0k,	 1551040k
-e 14-12-17 08:32:12,	 0k,	 0k,	 0k,	 1544088k
-e 14-12-17 08:32:16,	 0k,	 0k,	 0k,	 1534748k
-e 14-12-17 08:32:19,	 0k,	 0k,	 0k,	 1545016k
-e 14-12-17 08:32:23,	 0k,	 0k,	 0k,	 1565924k
